episode_id,frame_index,global_index,normalized_progress,prompt_id,prompt_class,instruction,noise_hash,pred_action_x,pred_action_y,pred_action_z,pred_action_gripper,gripper_regime,class_open_count,class_prompt_count,class_open_percentage,class_close_percentage,selected_for_microtask,microtask_selection_reason
5,230,1518,0.8273381294964028,P03,Paraphrase,move the cream cheese box and the butter into the basket,sha256:727d9925731cdbf0,-0.5151064395904541,0.3260578513145447,0.1097893044352531,1.0025933980941772,CLOSING,0,10,0.0,100.0,False,closing variant nearest the Paraphrase mean translation vector
5,230,1518,0.8273381294964028,U08,Unrelated,slide the cutting board toward the sink,sha256:727d9925731cdbf0,-0.6331318616867065,-0.2008596956729889,-0.6316079497337341,-0.9565990567207336,OPENING,7,10,70.0,30.0,False,opening variant nearest the Unrelated mean translation vector
5,230,1518,0.8273381294964028,U02,Unrelated,close the microwave door,sha256:727d9925731cdbf0,-0.5891530513763428,-0.1446421593427658,-0.6266729831695557,-0.9882818460464478,OPENING,7,10,70.0,30.0,False,opening variant nearest the Unrelated mean translation vector
5,230,1518,0.8273381294964028,C09,Contradictory,put the cream cheese box beside the basket and leave the butter on the table,sha256:727d9925731cdbf0,-0.1093109920620918,-0.0422206073999404,0.4733131825923919,0.9925420880317688,CLOSING,3,10,30.0,70.0,False,opening variant nearest the Contradictory mean translation vector
5,230,1518,0.8273381294964028,U07,Unrelated,lift the saucepan and set it on the front burner,sha256:727d9925731cdbf0,-0.6221503615379333,0.0332519821822643,-0.3601662516593933,0.9969411492347716,CLOSING,7,10,70.0,30.0,False,opening variant nearest the Unrelated mean translation vector
5,230,1518,0.8273381294964028,C05,Contradictory,place the cream cheese box on the table and put only the butter in the basket,sha256:727d9925731cdbf0,-0.2298331260681152,0.0523187145590782,0.4437098205089569,0.9871508479118348,CLOSING,3,10,30.0,70.0,False,opening variant nearest the Contradictory mean translation vector
5,230,1518,0.8273381294964028,P05,Paraphrase,set the cream cheese box as well as the butter inside the basket,sha256:727d9925731cdbf0,-0.1909905672073364,0.1050153747200965,0.678682267665863,0.9963533282279968,CLOSING,0,10,0.0,100.0,False,closing variant nearest the Paraphrase mean translation vector
5,230,1518,0.8273381294964028,U05,Unrelated,turn the stove knob clockwise,sha256:727d9925731cdbf0,-0.5250343084335327,-0.0812940746545791,-0.5565908551216125,1.0111596584320068,CLOSING,7,10,70.0,30.0,False,opening variant nearest the Unrelated mean translation vector
5,230,1518,0.8273381294964028,P02,Paraphrase,put the butter and the cream cheese box together inside the basket,sha256:727d9925731cdbf0,-0.2784929275512695,0.3133896589279175,0.4912853538990021,1.0008496046066284,CLOSING,0,10,0.0,100.0,False,closing variant nearest the Paraphrase mean translation vector
5,230,1518,0.8273381294964028,P06,Paraphrase,pack the basket with both the cream cheese box and the butter,sha256:727d9925731cdbf0,-0.1292225122451782,0.1404849588871002,0.7454034090042114,1.0056437253952026,CLOSING,0,10,0.0,100.0,False,closing variant nearest the Paraphrase mean translation vector
5,230,1518,0.8273381294964028,U10,Unrelated,take the spoon from the counter and place it in the utensil holder,sha256:727d9925731cdbf0,-0.3947302997112274,0.0374460257589817,-0.1268315315246582,0.9738155007362366,CLOSING,7,10,70.0,30.0,False,opening variant nearest the Unrelated mean translation vector
5,230,1518,0.8273381294964028,U03,Unrelated,pick up the red mug and place it on the saucer,sha256:727d9925731cdbf0,-0.3766627609729767,-0.1089111417531967,-0.4236675202846527,-1.012473225593567,OPENING,7,10,70.0,30.0,False,opening variant nearest the Unrelated mean translation vector
5,230,1518,0.8273381294964028,U06,Unrelated,place the cereal box inside the kitchen cabinet,sha256:727d9925731cdbf0,-0.5953798890113831,-0.2596676349639892,-0.5943096876144409,-0.9676705598831176,OPENING,7,10,70.0,30.0,False,opening variant nearest the Unrelated mean translation vector
5,230,1518,0.8273381294964028,CORRECT,Correct,put both the cream cheese box and the butter in the basket,sha256:727d9925731cdbf0,-0.1769819855690002,0.1427551507949829,0.7414053678512573,1.0023051500320437,CLOSING,0,1,0.0,100.0,True,single canonical baseline
5,230,1518,0.8273381294964028,C04,Contradictory,put only the butter in the basket and keep the cream cheese box where it is,sha256:727d9925731cdbf0,-0.1965762972831726,0.2877311408519745,0.3502736687660217,0.9936352372169496,CLOSING,3,10,30.0,70.0,False,opening variant nearest the Contradictory mean translation vector
5,230,1518,0.8273381294964028,C06,Contradictory,place both the cream cheese box and the butter next to the basket instead of inside it,sha256:727d9925731cdbf0,-0.289926528930664,-0.0572167783975601,0.3731620013713836,1.0091049671173096,CLOSING,3,10,30.0,70.0,False,opening variant nearest the Contradictory mean translation vector
5,230,1518,0.8273381294964028,U04,Unrelated,move the black bowl onto the serving plate,sha256:727d9925731cdbf0,-0.6219960451126099,-0.1832068562507629,-0.7853348851203918,-0.9883766174316406,OPENING,7,10,70.0,30.0,False,opening variant nearest the Unrelated mean translation vector
5,230,1518,0.8273381294964028,P01,Paraphrase,place both the cream cheese box and the butter in the basket,sha256:727d9925731cdbf0,-0.1998331546783447,0.1345468759536743,0.7405387759208679,1.0014742612838743,CLOSING,0,10,0.0,100.0,False,closing variant nearest the Paraphrase mean translation vector
5,230,1518,0.8273381294964028,P04,Paraphrase,"transfer both items, the cream cheese box and the butter, to the basket",sha256:727d9925731cdbf0,-0.1495071947574615,0.1549709588289261,0.6293379068374634,0.9900816082954408,CLOSING,0,10,0.0,100.0,False,closing variant nearest the Paraphrase mean translation vector
5,230,1518,0.8273381294964028,U01,Unrelated,open the top drawer of the cabinet,sha256:727d9925731cdbf0,-0.4616313576698303,-0.2180665433406829,-0.3429452776908874,-0.98015958070755,OPENING,7,10,70.0,30.0,False,opening variant nearest the Unrelated mean translation vector
5,230,1518,0.8273381294964028,P09,Paraphrase,the cream cheese box and the butter should both be put into the basket,sha256:727d9925731cdbf0,-0.2227415144443512,0.0848013311624527,0.4193873703479767,0.9919231534004213,CLOSING,0,10,0.0,100.0,False,closing variant nearest the Paraphrase mean translation vector
